attention_feel,decision_style,complex_tech,everyday_choice,battery_drain,shoots_often,design_vs_durability,phone_lags,apps_uniform,likes_travel,phone_change_years,games_hours,posts_social,watches_on_phone,phone,eye_blue,eye_brown,eye_gray,eye_gray_blue,eye_green,eye_other
1,0,0,1,1,0,1,0,1,1,0.3333333333333333,0.125,0,1,0,0,0,0,0,1,0
1,0,0,1,1,1,0,0,1,1,0.16666666666666669,0.025,1,1,0,0,1,0,0,0,0
1,0,0,0,0,1,1,0,1,1,0.16666666666666669,0.025,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,1,1,0.16666666666666669,0.0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,1,1,0.3333333333333333,0.15000000000000002,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0.49999999999999994,0.2,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,1,0.3333333333333333,0.025,0,1,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,1,0.16666666666666669,0.125,1,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0.16666666666666669,0.0,0,1,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0.6666666666666667,0.25,1,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.1,0,0,1,0,0,1,0,0,0
0,1,1,1,0,0,0,0,1,1,0.3333333333333333,0.225,0,1,1,0,1,0,0,0,0
0,0,0,1,0,0,1,0,1,1,0.49999999999999994,0.25,0,0,1,0,0,0,0,0,1
1,0,0,0,1,1,1,0,1,1,0.0,0.17500000000000002,0,1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0.6666666666666667,0.75,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,1,1,0.49999999999999994,0.0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,1,0.3333333333333333,0.25,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,1,1,0.49999999999999994,0.125,0,1,1,0,1,0,0,0,0
0,0,0,1,1,0,0,0,1,1,0.3333333333333333,0.375,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,1,1,0.49999999999999994,0.05,0,0,0,0,0,1,0,0,0
1,0,1,0,0,1,0,0,0,1,0.49999999999999994,0.17500000000000002,0,0,1,1,0,0,0,0,0
1,0,1,1,1,1,0,0,1,1,0.3333333333333333,0.07500000000000001,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,1,0.16666666666666669,0.125,0,1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0.16666666666666669,0.375,0,1,1,0,0,0,0,1,0
1,0,1,1,0,0,0,0,0,0,0.49999999999999994,0.875,0,0,1,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,1,0.49999999999999994,0.0,0,1,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,1,0.16666666666666669,0.025,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,0,0,1,1,0.49999999999999994,0.025,0,0,1,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,1,0.6666666666666667,0.0,0,1,1,1,0,0,0,0,0
1,0,1,0,0,1,0,0,1,1,0.3333333333333333,0.07500000000000001,0,1,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,0.16666666666666669,0.2,0,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,1,0.49999999999999994,0.2,0,1,1,0,0,1,0,0,0
0,0,1,1,0,1,1,0,0,0,0.49999999999999994,0.5,0,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0.49999999999999994,0.05,0,1,0,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,1,0.49999999999999994,0.0,0,1,1,0,0,0,1,0,0
0,0,1,1,0,1,0,1,1,0,0.6666666666666667,1.0,1,0,1,0,0,0,0,0,1
1,0,0,0,1,1,0,0,1,1,0.49999999999999994,0.025,1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,1,1,0.49999999999999994,0.05,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0.3333333333333333,0.5,0,0,1,0,1,0,0,0,0
1,0,0,1,1,0,0,0,1,1,0.0,0.025,0,1,0,0,0,0,0,0,1
1,0,1,0,1,0,1,0,1,0,0.49999999999999994,0.0,0,1,0,0,1,0,0,0,0
1,0,1,0,1,0,1,0,1,0,0.49999999999999994,1.0,0,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,1,1.0,0.05,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0.16666666666666669,0.75,0,1,1,0,0,0,0,0,1
