k,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,evaluations
1,0.4224444444444444,0.13368222870525812,0.3776400266400266,0.1377530074192208,0.39,0.1341847813858023,25
3,0.48133333333333334,0.12293107574049797,0.41812842712842707,0.12103707474887879,0.43733333333333335,0.11604884029292727,25
5,0.5825555555555556,0.14372796664206214,0.5211702741702742,0.1547158198891824,0.5376666666666666,0.14533715591303173,25
7,0.6622222222222223,0.12681764880876287,0.602057165057165,0.1446910790592445,0.616,0.13422452168744065,25
9,0.6512222222222221,0.12477406742282054,0.5827202797202797,0.14914796317357207,0.597,0.13603267581316222,25
11,0.624,0.12055908852990095,0.5245229215229216,0.15627301639696822,0.5513333333333333,0.13065391094201673,25
13,0.6241111111111111,0.12881875486488087,0.5300437340437341,0.16577857724811973,0.5573333333333332,0.14619849520429407,25
15,0.5837777777777778,0.12866282857449593,0.4733150183150183,0.14082875039505194,0.508,0.12421934005799758,25
17,0.6255555555555555,0.11804215610231773,0.5112242202242201,0.15254420880525538,0.541,0.12492041911197346,25
19,0.6457777777777778,0.1543467316798348,0.5090638250638251,0.19176645125731553,0.5536666666666666,0.15470545490634055,25
